tuple2,tuple1
I told Joe about the losses in October 2021.,"Joe: ""I first heard about the losses in February 2022."""
I told Martin about the losses in October 2021.,"Martin: ""I first heard about the losses in February 2022."""
I told Jane about the losses in October 2021.,"Jane: ""I first heard about the losses in February 2022."""
I told Julia about the losses in October 2021.,"Julia: ""I first heard about the losses in February 2022."""
I told Jeff about the losses in October 2021.,"Jeff: ""I first heard about the losses in February 2022."""
I told Victor about the losses in October 2021.,"Victor: ""I first heard about the losses in February 2022."""
I told Bob about the losses in October 2021.,"Bob: ""I first heard about the losses in February 2022."""
I told Alice about the losses in October 2021.,"Alice: ""I first heard about the losses in February 2022."""
I told Rosy about the losses in October 2021.,"Rosy: ""I first heard about the losses in February 2022."""
I told Bella about the losses in October 2021.,"Bella: ""I first heard about the losses in February 2022."""
