text,aspect,sentiment
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.",food,positive
Hostess was extremely accommodating when we arrived an hour early for our reservation.,staff,positive
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",staff,negative
"Though the service might be a little slow, the waitresses are very friendly.",service,negative
"Though the service might be a little slow, the waitresses are very friendly.",staff,positive
"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.",staff,negative
I like the smaller portion size for dinner.,miscellaneous,negative
"The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.",price,positive
") other food is served in too-small portions, but at least it leaves room for dessert.",miscellaneous,negative
"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.",staff,negative
"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.",miscellaneous,positive
Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,miscellaneous,positive
Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,staff,positive
I had to ask for bread for the table (several times).,food,negative
"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.",miscellaneous,positive
After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,service,negative
After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,staff,positive
I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.,staff,negative
"Towards the end of our meal, a server came out, apparently our orders had been double-filled.",staff,negative
"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.",menu,positive
"Upon entering, I was impressed by the room while the food on other peoples' tables seemed enticing.",place,positive
"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.",staff,positive
"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.",food,positive
"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.",staff,positive
"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.",food,negative
"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.",staff,negative
I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.,ambience,negative
"Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.",staff,positive
"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.",staff,negative
"Went for an early V-Day dinner, only to be highly disappointed by the service.",service,negative
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,staff,negative
The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.,service,positive
The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.,staff,positive
"I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.",price,negative
"It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal.",staff,positive
its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.,place,positive
The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,staff,negative
The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,service,negative
"worst margaritas in town,if you are going to order a battle of (white wine)they served hot.",food,negative
"They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.",staff,negative
"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.",staff,negative
"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",place,negative
"Although the service can be a bit brusque at times, the food is always good, hearty and hot.",service,negative
"Although the service can be a bit brusque at times, the food is always good, hearty and hot.",food,positive
"The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.",food,positive
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,food,positive
"Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable.",staff,negative
"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)",staff,negative
We started with the guacamole and this is by far the best I've ever had bar none.,food,positive
"If you eat here, just keep in mind that the specials are much higher than the regular menu when ordering.",food,positive
